Grammar_Point,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Distractor_Logic,Explanation
Present_Simple_Usage,Water ___ at 100 degrees.,boils,is boiling,boil,are boiling,A,B與D是現在進行式，混淆狀態與正在發生的動作；C是原形動詞（主詞為單數不可用）,"水在100度沸騰是「普遍事實 (General Truth)」，因此必須使用現在簡單式，且 Water 為不可數名詞，動詞需加 -s。"
Be_vs_Action,He ___ apples very much.,likes,is like,are like,like,A,B與C混用了 Be 動詞與一般動詞 (State engine + Action engine 混用)；D是原形動詞混淆。,"描述習慣或喜好時，一般動詞 (Action Verb) 不可與 Be 動詞混用。主詞為 He，因此動詞需加 -s。"
3rd_Person_Spelling,She always ___ TV after dinner.,watch,watches,watchs,is watching,B,A是原形；C是拼字錯誤（未加es）；D是現在進行式。,"主詞為第三人稱單數 She，動詞 watch 字尾為 -ch，依規則必須加上 -es 變成 watches。"
3rd_Person_Spelling,My brother ___ English every day.,study,studies,studys,studyes,B,A是原形；C與D是拼寫錯誤（未去y加ies）。,"主詞 My brother 為第三人稱單數，動詞 study 字尾為「子音+y」，必須去 y 加上 -ies。"
Irregular_Verb_Have,The dog ___ a long tail.,have,has,haves,is having,B,A是原形；C是不規則變化混淆（學生常依規則加s）；D是進行式。,"主詞 The dog 為第三人稱單數，動詞 have 的第三人稱單數為不規則變化 has。"
Auxiliary_Verb_Return,Does she ___ in a big house?,lives,live,living,is live,B,A是保留了單數的-s（最常見錯誤）；C是現在分詞；D是錯誤搭配。,"助動詞 Does 出現後，後方的動詞必須「回歸原形 (Base Form)」，因此 lives 必須還原成 live。"
Pronoun_Verb_Match,They ___ soccer on weekends.,play,plays,are play,playing,A,B是第三人稱單數的混淆；C是 Be 動詞混用；D是缺少 Be 動詞的進行式。,"主詞 They 為複數，後方一般動詞保持原形 play 即可。"
Present_Simple_Schedule,The train ___ at 8 PM.,leave,leaves,is leaving,leaving,B,A是原形；C與D是進行式混淆。,"火車時刻表 (Timetables) 屬於固定安排的事件，使用現在簡單式。The train 為單數，動詞需加 -s。"
Be_vs_Action,She ___ happy today.,is,are,am,be,A,B與C是人稱不對；D是原形動詞,"主詞是 She，描述狀態用 Be 動詞 is。"
3rd_Person_Spelling,He ___ his face every morning.,wash,watches,washes,washing,C,A是原形；B是動詞不同；D是現在分詞,"wash字尾是sh，第三人稱單數加es變成washes。"
Pronoun_Verb_Match,I ___ to school by bus.,goes,go,going,is go,B,A是單數動詞；C是現在分詞；D是Be動詞混用,"第一人稱 I 使用原形動詞 go。"
Auxiliary_Verb_Return,Do they ___ basketball?,plays,playing,played,play,D,A是加s；B是分詞；C是過去式,"助動詞 Do 後面的動詞必須是原形。"
Irregular_Verb_Have,We ___ a big house.,has,having,have,are have,C,A是單數動詞；B是分詞；D是錯誤搭配,"第一人稱複數 We 使用原形動詞 have。"
Present_Simple_Usage,The sun ___ in the east.,rise,rises,rising,is rising,B,A是原形；C與D是進行式,"自然現象是普遍事實，The sun 是單數名詞，動詞加s。"
Negative_Sentence,She ___ like coffee.,don't,isn't,doesn't,not,C,A用於複數或第一/二人稱；B是Be動詞；D缺少助動詞,"第三人稱單數的否定句要用 doesn't。"
Negative_Sentence,We ___ play tennis on Mondays.,doesn't,aren't,don't,not play,C,A用於第三人稱單數；B是Be動詞；D缺少助動詞,"第一人稱複數的否定句要用 don't。"
Yes_No_Question,___ he read books?,Do,Does,Is,Are,B,A用於複數；C與D是Be動詞,"第三人稱單數的疑問句，句首助動詞用 Does。"
Adverb_of_Frequency,I ___ get up early.,am usually,always,always am,never is,B,A/C/D 錯誤使用 Be 動詞,"頻率副詞放在一般動詞前面，不與 Be 動詞混用。"
Be_vs_Action,They ___ doctors.,are,is,am,do,A,B與C是單數人稱；D是一般動詞助動詞,"主詞是 They，描述身份狀態用 Be 動詞 are。"
3rd_Person_Spelling,The baby ___ every night.,cry,cries,crys,is crying,B,A是原形；C是錯誤拼字；D是進行式,"cry 字尾是子音+y，第三人稱單數要去y加ies變成cries。"