Grammar_Point,Target_Sentence,Scrambled_Parts,Distractor_Parts,Capitalization_Hint,Punctuation_Hint,Explanation
Affirmative_Sentence,They play basketball after school.,They|play|basketball|after|school.,plays|are,TRUE,TRUE,"主詞 They 為複數，動詞使用原形 play。基本句型結構為「主詞 + 動詞 + 受詞 + 時間/地方副詞」。"
Affirmative_Sentence,She reads a book every night.,She|reads|a|book|every|night.,read|is,TRUE,TRUE,"主詞 She 為第三人稱單數，動詞需加 -s。every night 放於句尾表示時間頻率。"
Adverb_of_Frequency,I always eat breakfast.,I|always|eat|breakfast.,eat|am,TRUE,TRUE,"頻率副詞 always 必須放在一般動詞 eat 之前。"
Adverb_of_Frequency,He never goes to bed late.,He|never|goes|to|bed|late.,go|is,TRUE,TRUE,"主詞為 He，動詞為 goes，頻率副詞 never 放在動詞 goes 之前。"
Time_Expression_Every,We visit our grandparents every Sunday.,We|visit|our|grandparents|every|Sunday.,visits|are,TRUE,TRUE,"表示時間頻率的 every Sunday 習慣放於句尾，主詞 We 搭配原形動詞 visit。"
Negative_Sentence,I do not like apples.,I|do|not|like|apples.,does|am,TRUE,TRUE,"第一人稱 I 的否定句需使用 do not (don't) + 原形動詞。"
Negative_Sentence,He doesn't watch TV in the morning.,He|doesn't|watch|TV|in|the|morning.,watches|don't,TRUE,TRUE,"主詞 He 為第三人稱單數，否定句使用 doesn't，且後方動詞 watch 必須回歸原形。"
Yes_No_Question,Do you have a pet?,Do|you|have|a|pet|?,Does|Are,TRUE,FALSE,"主詞為 you，疑問句將助動詞 Do 移至句首，句尾加上問號。"
Yes_No_Question,Does she live in Taipei?,Does|she|live|in|Taipei|?,Do|lives,TRUE,FALSE,"主詞為 she，疑問句將助動詞 Does 移至句首，後方動詞 live 必須回歸原形。"
Affirmative_Sentence,We study English at school.,We|study|English|at|school.,studies|are,TRUE,TRUE,"主詞 We 為複數，動詞使用原形 study。"
Affirmative_Sentence,My dog sleeps on the sofa.,My|dog|sleeps|on|the|sofa.,sleep|is,TRUE,TRUE,"主詞 My dog 為第三人稱單數，動詞加 -s。"
Adverb_of_Frequency,She usually helps her mom.,She|usually|helps|her|mom.,help|does,TRUE,TRUE,"頻率副詞 usually 放在一般動詞 helps 之前。"
Adverb_of_Frequency,They sometimes play games.,They|sometimes|play|games.,plays|are,TRUE,TRUE,"主詞 They 為複數，頻率副詞 sometimes 放在動詞 play 之前。"
Time_Expression_Every,He washes his car every week.,He|washes|his|car|every|week.,wash|is,TRUE,TRUE,"表示時間頻率的 every week 習慣放於句尾。"
Time_Expression_Every,I call my friend every day.,I|call|my|friend|every|day.,calls|is,TRUE,TRUE,"every day 表示每天的頻率，放於句尾。"
Negative_Sentence,They do not go to the park.,They|do|not|go|to|the|park.,does|goes,TRUE,TRUE,"複數主詞 They 否定句使用 do not (don't) + 原形動詞。"
Negative_Sentence,She doesn't drink milk.,She|doesn't|drink|milk.,don't|drinks,TRUE,TRUE,"第三人稱單數 She 否定句使用 doesn't，動詞回歸原形 drink。"
Yes_No_Question,Do they like pizza?,Do|they|like|pizza|?,Does|likes,TRUE,FALSE,"主詞為 they，疑問句句首使用助動詞 Do。"
Yes_No_Question,Does he play the piano?,Does|he|play|the|piano|?,Do|plays,TRUE,FALSE,"主詞為 he，疑問句句首使用助動詞 Does，動詞回歸原形 play。"
Be_vs_Action,I am a student.,I|am|a|student.,do|is,TRUE,TRUE,"第一人稱描述身分使用 Be 動詞 am。"
Be_vs_Action,She is very tall.,She|is|very|tall.,does|are,TRUE,TRUE,"第三人稱單數描述狀態使用 Be 動詞 is。"