Question_ID,Paragraph,Type,Question_Text,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,,
Q01,1,MC,Where does the story happen?,At a school,At the beach,In a city park,At a hospital,At the beach,Paragraph 1 says 'Emma walked down to the beach and sat on the sand.',,
Q02,1,MC,Who is Emma with on holiday?,Her friends,Her parents,Her teacher,Her sister,Her parents,Paragraph 1 says 'Emma was on holiday with her parents.',,
Q03,1,MC,Why was Emma bored at the swimming pool?,There were too many people,The water was cold,She couldn't swim,It was raining,There were too many people,Paragraph 1 says 'There were too many people in the swimming pool.',,
Q04,1,MC,What did Emma's mum and dad want to do?,Play tennis,Swim in the pool,Sit in the sun,Look for treasure,Sit in the sun,Paragraph 1 says 'her mum and dad just wanted to sit in the sun.',,
Q05,1,MC,What hit Emma on the head?,A book,A tennis ball,A beach ball,A shell,A beach ball,Paragraph 1 says 'Then something hit her on the head. It was a beach ball.',,
Q06,1,MC,Who is the little boy?,Emma's brother,A boy who is six or seven,A lifeguard,Emma's friend,A boy who is six or seven,Paragraph 1 says 'He was only about six or seven.',,
Q07,1,MC,Which sentence is NOT true about Emma in paragraph 1?,She wanted to play tennis.,She was on holiday.,She was very happy.,She sat on the sand.,She was very happy.,The text says Emma was bored and unhappy.,,
Q08,1,MC,How does Emma probably feel when the ball hits her?,Excited,Happy,Annoyed,Scared,Annoyed,She thought it was a boring day and wanted the boy to go away.,,
Q09,1,MC,What did the little boy say when the ball hit Emma?,Hello!,Sorry!,Watch out!,Catch!,Sorry!,Paragraph 1 says ''Sorry!' a little boy said.',,
Q10,1,MC,Why did the little boy talk to Emma?,Because she looked unhappy,Because he wanted to play tennis,Because he lost his parents,Because he was hungry,Because she looked unhappy,Paragraph 1 says 'But you look unhappy. What's the matter?',,
Q11,2,MC,What did the little boy want to do?,Play tennis,Look for treasure,Go swimming,Build a sandcastle,Look for treasure,Paragraph 2 says ''We could look for treasure,' the little boy said.',
Q12,2,MC,Where are the little boy's parents?,At the hotel,By the island,In the pool,On the beach,By the island,Paragraph 2 says 'They're out there by the island.',,
Q13,2,MC,Who does the little boy say he is?,The son of a king,The son of a pirate,A student,A swimmer,The son of a pirate,Paragraph 2 says 'I'm the son of a pirate, he said.',
Q14,2,MC,Why did Emma laugh?,The boy told a joke,She thought his idea was silly,She saw a funny dog,She was happy,She thought his idea was silly,She laughed because she thought pirates are only in stories and there was no ship.,,
Q15,2,MC,Why can't Emma see the pirate ship?,It is too dark,It is behind the island,Because she believes pirates are only in stories,Because she is not wearing glasses,Because she believes pirates are only in stories,Paragraph 2 says 'You can't see it because you believe that we're only in stories.',,
Q16,2,MC,Which of the following is true about Emma in paragraph 2?,She ran away.,She thought the boy was funny.,She was angry.,She went to sleep.,She thought the boy was funny.,Paragraph 2 says 'Emma thought the little boy was funny.',,
Q17,2,MC,How did Emma's feeling change at the end of paragraph 2?,She became sad,She suddenly didn't feel bored,She felt hungry,She felt tired,She suddenly didn't feel bored,Paragraph 2 says 'suddenly she didn't feel bored.',,
Q18,2,MC,What did Emma say at the end of paragraph 2?,Go away!,Let's look for treasure!,Where is my mum?,I want to swim!,Let's look for treasure!,Paragraph 2 says ''OK,' she said, and stood up. 'Let's look for treasure!''
Q19,2,MC,"In paragraph 2, what does 'it' refer to in 'You can't see it'?",The island,The treasure,The pirate ship,The beach,The pirate ship,The boy is talking about their ship.,,
Q20,2,MC,Why did Emma stand up?,To go back to the hotel,To look for treasure with the boy,To find her parents,To play tennis,To look for treasure with the boy,She agreed to look for treasure with the boy.,,
Q21,3,MC,Where did the boy point first?,At the hotel,At some rocks,At the island,At the sky,At some rocks,Paragraph 3 says 'The boy pointed at some rocks.',,
Q22,3,MC,What was in the pools of sea water?,Big sharks,Small fish and shells,Old shoes,Pirate ships,Small fish and shells,Paragraph 3 says 'They were full of small fish and shells.',,
Q23,3,MC,What was the first kind of 'treasure' they found?,A gold ring,Lovely shells,A silver fork,Old glasses,Lovely shells,The boy says 'Those shells are lovely... They're a kind of treasure.',,
Q24,3,MC,What blue thing did Emma see in the rock pool?,A hat,A glove,A ball,A fish,A glove,Paragraph 3 says 'Then she saw something blue in the rock pool too... It's a glove, isn't it?',
Q25,3,MC,Where did the boy put the wet glove?,In his pocket,In a big bag,On his head,On the rock,In a big bag,Paragraph 3 says 'and put it in a big bag that he carried on his shoulder.',,
Q26,3,MC,What did Emma find at the bottom of the next rock pool?,A silver fork,A gold ring,A blue glove,A small crab,A silver fork,Paragraph 3 says 'It looks like a silver fork.',,
Q27,3,MC,Who pulled the silver fork out of the water?,Emma,The little boy,Emma's mum,A pirate,The little boy,Paragraph 3 says 'He pulled out the silver fork and put it in his bag too.',,
Q28,3,MC,What was the last thing they found in paragraph 3?,A silver fork,A gold ring,An old pair of glasses,A blue glove,An old pair of glasses,Paragraph 3 says 'There was an old pair of glasses in another rock pool.',,
Q29,3,MC,Which sentence is NOT true about paragraph 3?,They found a blue glove.,They found an old pair of glasses.,They found a gold ring.,They found a silver fork.,They found a gold ring.,The gold ring is found in paragraph 4, not paragraph 3.,
Q30,3,MC,How did the boy feel when they found the glasses?,He was angry,He was sad,He laughed,He cried,He laughed,Paragraph 3 says ''More treasure!' he laughed.',,
Q31,4,MC,What was the water like in the new rock pool?,Very hot,"Very, very deep",Very dirty,Very cold,"Very, very deep",Paragraph 4 says 'It was very, very deep.',
Q32,4,MC,Why did Emma want to go back to the beach?,She was hungry,She thought it was dangerous,She was tired,She wanted to swim,She thought it was dangerous,Paragraph 4 says ''It's dangerous here,' Emma said. 'Come on. Let's go back to the beach.'',
Q33,4,MC,What did the little boy see under the fish?,A silver fork,A gold ring,An old shoe,A beautiful shell,A gold ring,Paragraph 4 says 'There's a gold ring under that black and red fish.',,
Q34,4,MC,What colours was the fish in the deep pool?,Blue and yellow,Black and red,Green and white,Silver and gold,Black and red,Paragraph 4 says 'under that black and red fish.',,
Q35,4,MC,What does the little boy think is the 'best kind of treasure'?,The silver fork,The gold ring,The blue glove,The old glasses,The gold ring,Paragraph 4 says 'That's the best kind of treasure!',,
Q36,4,MC,What did the fish in the deep pool have?,Big eyes,Long tails,Very big teeth,Small fins,Very big teeth,Paragraph 4 says 'That fish has got very big teeth.',,
Q37,4,MC,How did the fish look?,Happy,Sad,Angry,Tired,Angry,Paragraph 4 says 'It looks angry.',,
Q38,4,MC,What other animal did Emma see in the pool?,A crab,A shark,A turtle,A dolphin,A crab,Paragraph 4 says 'And that crab might bite you too!',,
Q39,4,MC,Why did Emma say the crab might bite the boy?,Because crabs like to eat boys,Because the water was too deep,Because it was dangerous,Because the crab was hungry,Because it was dangerous,She is warning him about the dangers in the pool.,,
Q40,4,MC,Which of the following is true about the pool in paragraph 4?,It was very shallow.,There was a black and red fish in it.,There was no treasure in it.,Emma wanted to jump in.,There was a black and red fish in it.,Paragraph 4 mentions the black and red fish.,,
Q41,5,MC,Where did the little boy put his bag?,On the sand,On the rock,In the water,On his head,On the rock,Paragraph 5 says 'The little boy put his bag down on the rock.',,
Q42,5,MC,Why wasn't the little boy afraid?,Because he had a big stick,Because he was the son of a pirate,Because he was very old,Because Emma was with him,Because he was the son of a pirate,Paragraph 5 says 'I'm not afraid. I'm the son of a pirate...',,
Q43,5,MC,What did the boy take out of his bag?,A towel and a hat,"The glove, the fork and the glasses",A map and a compass,A book and a pen,"The glove, the fork and the glasses",Paragraph 5 says 'The little boy took out the glove, the fork and the old pair of glasses.',
Q44,5,MC,Where did the boy put the glove?,On his foot,On his head,On his hand,In his pocket,On his hand,Paragraph 5 says 'He put the glove on his hand.',,
Q45,5,MC,What did the boy put on the end of the fork?,The gold ring,The old pair of glasses,The blue glove,A small fish,The old pair of glasses,Paragraph 5 says 'Then he put the old pair of glasses on to the end of the fork',,
Q46,5,MC,Why couldn't the fish bite the boy?,Because the boy was too fast,Because the fish had no teeth,Because the fish couldn't bite through the glove,Because the crab stopped the fish,Because the fish couldn't bite through the glove,Paragraph 5 says 'The fish couldn't bite through the glove',,
Q47,5,MC,How did the boy get the ring out of the water?,He used a net,He hooked it with the end of the glasses,He asked the crab to get it,Emma helped him pull it,He hooked it with the end of the glasses,Paragraph 5 says 'the little boy hooked the ring out of the water with the end of the glasses.',,
Q48,5,MC,Who did the boy give the ring to?,His mother,The pirate,Emma,The crab,Emma,Paragraph 5 says 'He gave it to Emma.',,
Q49,5,MC,What does the boy's action tell us about him?,He is lazy,He is clever and brave,He is angry,He is shy,He is clever and brave,He used the items cleverly to safely get the ring from the dangerous pool.,,
Q50,5,MC,Which sentence is NOT true about paragraph 5?,The boy used the fork.,The boy put the glove on his hand.,The crab bit the boy.,The boy got the ring.,The crab bit the boy.,The text does not say the crab bit him.,,
Q51,6,MC,What happened when Emma looked up to say thank you?,The boy asked for money,The boy wasn't there,The boy laughed,The boy jumped into the water,The boy wasn't there,Paragraph 6 says 'when Emma looked up to say thank you to the little boy, he wasn't there.',
Q52,6,MC,How did Emma feel when the boy disappeared?,Very angry,Very happy,Very surprised,Very tired,Very surprised,Paragraph 6 says 'She was very surprised.',,
Q53,6,MC,Where did Emma take the gold ring?,To the police station,Back to the hotel,To the pirate ship,To the swimming pool,Back to the hotel,Paragraph 6 says 'she carried the ring carefully back to the hotel',,
Q54,6,MC,Where was Emma's mother?,In the swimming pool,Sitting in the sun,Upstairs in their room,At the beach,Upstairs in their room,Paragraph 6 says 'Emma went upstairs to their room. Emma's mother was there.',,
Q55,6,MC,How did Emma's mother look?,Very happy,Very sad,Very angry,Very excited,Very sad,Paragraph 6 says 'She looked very sad.',,
Q56,6,MC,Why was Emma's mother sad?,She lost her bag,She lost her beautiful gold ring,She was sick,It was raining,She lost her beautiful gold ring,Paragraph 6 says 'I've lost my beautiful gold ring.',,
Q57,6,MC,Where did Emma's mother lose her ring?,In the hotel room,In the swimming pool,In the sea,In the restaurant,In the sea,Paragraph 6 says 'I went for a swim in the sea and it came off my finger.',,
Q58,6,MC,What did Emma do when her mother told her about the ring?,She cried,She opened her hand,She ran away,She called the police,She opened her hand,Paragraph 6 says 'Emma opened her hand. 'Is this it?' she asked.',,
Q59,6,MC,Who did Emma say found the ring?,A lifeguard,The son of a pirate,Her dad,A fisherman,The son of a pirate,Paragraph 6 says ''The son of a pirate found it in a rock pool,' Emma answered.',
Q60,6,MC,Which of the following is true about the ring?,It belonged to the pirate.,It was Emma's mother's ring.,It was made of silver.,It was broken.,It was Emma's mother's ring.,Emma's mother says 'I've lost my beautiful gold ring' and confirms it is hers.,,
Q61,7,MC,Where did Emma look out from?,The pirate ship,The hotel window,The rock pool,The beach,The hotel window,Paragraph 7 says 'Emma looked out of the hotel window.',,
Q62,7,MC,What was the pirate ship doing?,Sinking,Sailing away,Coming to the beach,Shooting cannons,Sailing away,Paragraph 7 says 'A pirate ship was sailing away',,
Q63,7,MC,What was the little boy doing?,Swimming in the sea,Waving to Emma,Crying,Eating fish,Waving to Emma,Paragraph 7 says 'the little boy was waving to her.',,
Q64,7,MC,What could Emma see this time?,Only the little boy,Only the pirate ship,Both the son of a pirate and the pirate ship,Nothing,Both the son of a pirate and the pirate ship,Paragraph 7 says 'Emma could see them both - the son of a pirate and the pirate ship!',,
Q65,7,MC,Why could Emma see the pirate ship now?,Because she had glasses,Because it was morning,Because she believed in pirates now,Because the ship was very big,Because she believed in pirates now,Earlier the boy said she couldn't see it because she didn't believe in them. Now she does.,,
Q66,7,MC,What is the best name for the story?,A boring holiday,The lost glasses,The son of a pirate,A day at the pool,The son of a pirate,The story is mainly about Emma's adventure with the son of a pirate.,,
Q67,7,MC,What is the theme of the story?,Always swim in the pool,Magic and imagination can make life exciting,Never talk to strangers,Crabs are dangerous,Magic and imagination can make life exciting,Emma goes from being bored to having a magical adventure because she opens her mind.,,
Q68,7,MC,How does Emma probably feel at the end of the story?,Bored,Angry,Amazed and happy,Sad,Amazed and happy,She found her mother's ring and saw a real pirate ship.,,
Q69,7,MC,Who is telling the story?,Emma,The little boy,Emma's mother,A narrator,A narrator,The story uses 'Emma' and 'she', so it's a third-person narrator.,
Q70,7,MC,Why did the author write this text?,To teach how to swim,To tell a magical story about a holiday,To explain how to find rings,To sell pirate ships,To tell a magical story about a holiday,It's a narrative story meant to entertain.,,
