GrammarPoint,SceneContext,QuestionText,PrimaryAnswer,AcceptedAlternatives,CaseSensitive,CommonMistake,TargetedFeedback,HintText,Explanation,TimesCrystalReward
TimeCop_TimePrep_On,"The Thanksgiving parade is gone! Fill in the blank to bring it back:","Thanksgiving is ___ the fourth Thursday of November.",on,-,FALSE,in,"in 用於月份或長時段，但這裡是特定那一天（第四個週四），要用 on。","特定的某一天（第幾個週幾）前面用哪個介係詞？","特定日子（某星期幾、日期、my birthday）前面用 on。",2
TimeCop_TimePrep_In,"The fireworks show needs a new time. Write the correct time word:","The fireworks show is ___ July.",in,-,FALSE,on,"on 接特定日，但 July 是整個月份，要用 in。","July 是月份還是特定一天？","月份（January–December）前面用 in。",1
TimeCop_TimePrep_On,"A theater ticket has no date. Fill it in:","The show is ___ Friday evening.",on,-,FALSE,in,"星期幾（Monday∼Sunday）是特定日子，要用 on，不用 in。","星期幾前面用哪個介係詞？","星期幾前面固定用 on（on Monday, on Friday evening）。",1
TimeCop_TimePrep_In,"The Christmas tree lighting needs the right season word:","The tree lighting happens ___ winter.",in,-,FALSE,on,"季節（spring/summer/fall/winter）是長時段，要用 in，不用 on。","winter 是一個季節（長時段），要用哪個介係詞？","季節前面用 in（in spring, in summer, in winter）。",1
TimeCop_TimePrep_In,"The police report needs the right year word:","Dr. Chronos first attacked ___ 2024.",in,-,FALSE,on,"年份是長時段，用 in，不用 on。","年份（2024、1999）前面用哪個介係詞？","年份前面用 in（in 2024, in 1999）。",1
TimeCop_TimePrep_On,"A lost Halloween party needs to be saved. The officer types:","The Halloween party is ___ October 31st.",on,-,FALSE,in,"日期（October 31st）是特定一天，要用 on，不用 in（in 是接月份本身，不是日期）。","October 31st 是特定的一天，還是整個月份？","特定日期（May 1st, October 31st）前面用 on。",2
TimeCop_TimePrep_In,"A weather report shows when Dr. Chronos attacked last year:","The time crimes were worst ___ summer.",in,-,FALSE,on,"季節用 in，on 接特定日子。","summer 是季節，要用哪個介係詞？","季節前面用 in（in summer, in fall）。",1
TimeCop_TimePrep_On,"A woman says she saw the bad doctor at the market every week:","I see him at the market ___ Sundays.",on,-,FALSE,in,"星期幾（Sundays）前面用 on，表示每個週日。","Sundays 是星期幾，要用哪個介係詞？","星期幾（包含複數 Sundays）前面用 on。",1
TimeCop_TimePrep_In,"The new officer writes a report about the time of day:","The bad man was seen ___ the afternoon.",in,-,FALSE,at,"in the afternoon/morning/evening 是固定搭配；at 接精確時刻，不接 afternoon 這類時段。","the afternoon 是一天中的時段，要用哪個介係詞？","in the morning / in the afternoon / in the evening 是固定搭配。",1
TimeCop_TimePrep_On,"A New Year's party card has no date:","The New Year's Eve party is ___ December 31st.",on,-,FALSE,in,"December 31st 是特定日期，用 on，不用 in（in 才接月份本身）。","December 31st 是特定的一天，要用哪個介係詞？","特定日期前面用 on（on December 31st）。",2
TimeCop_TimePrep_On,"An officer checks the bad doctor's birthday:","The bad doctor's birthday is ___ my birthday — March 5th.",on,-,FALSE,at,"my birthday / March 5th 都是特定日子，用 on。","birthday 是特定的一天，要用哪個介係詞？","on my birthday, on March 5th — 特定日子前面用 on。",1
TimeCop_TimePrep_In,"A museum paper lost its season word:","The new art shows ___ the spring.",in,-,FALSE,on,"季節前面用 in，on 接特定日子。","the spring 是季節，要用哪個介係詞？","in the spring（美式英語也常說 in spring）。",1